name,phone,interest,city,source,consent,status
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMiRkFVX3lxTFBWc3c0X2RZQnRWT1Z4Uk9WMFVZTUJmZ21XTkZiNzhpYmxFM040akFEbGItTWFEUnI5RENIdW9nOTk2WmVEa2c?oc=5,no,discovered
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMilAJBVV95cUxOSmJ3VGF0OF8yUXlUYml3MzFHYWYzZmxiWjljUUlfelFpOTV4S1Z1bUUzVGxJRkZiZ1BiQkltajk0TDNvSnp4YWR6Z1ZoS1QtTnRCZ2ZXWnhLbnhnZTBtZnc1R2N6NFRibUpSQms3TWxHRlBpOUdoLUg4Rm9ya3dRTk5MWVVYSENiU2N3WWllTVBsemdsQXFIaFdnbXVMX3N0WkU3MHY5Ym5YeG94OWMyRGJuWGFKcGtTN1RFS09BQkp0cENsa0xZbWR1Y3E2RlNkRlhXT3VSX01KSlAyZk5XejhNTTJlblRfQXF0VHBDQWNMOTE0cVRBcjkyTGoyRkdvLVpKY1RxQWJmMmwxX0M5TDZZUTY?oc=5,no,discovered
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMiRkFVX3lxTFAzb0ZwODJrWGdzaU5yZWNPbWljenZ6MGprdmJ3eFg0MlFtemRqbVhMbTR4X1B5eVVsNkFsVkx1TnE4WWlpN2c?oc=5,no,discovered
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMihwVBVV95cUxPamU1azhnc3ppYVNCMlBxWTZaM3UyYlptSkFlelQyMTlHcEJ2SEZrM0ZUcXJ4Zk56LU5JSktOZEdMVDN5ZS10RzFPRWliUktSX2YxdkZFUmtULXFTQklsdDFQYmdDSC1Sd3p2Q1F3Z1dDeG9iQTVqcUpXbmpSdzJ6cUhHaXJEMC1ZYTNGNFlEOE5tNmIyOFBXMWZkR2o5MmpBZGN2d09MYUprdzd6a0VMcUR2OW5aWXp5a0JQSkhrQTdUdWNqWHdDc3BEcXVhdGFrX3BzZzVMb3JMNFRWcEtzZjVxMEIwZkxmOFZibldLZ3BGeW5tTkxUcW15a1VKLTR4d3Z0T1ZzVVo1X1RBNDVnVXp1QktENVJYd3RFUkVSSWtyZ0FLYTFJZElOckZncU1nbTM1QnpNV2dSZ1NlSl9DTjhPUFIyY3FJYlJGTWpubG5temg5dnBBdzAxeFY1RHlnOEtfang4RWRVS1k4eThuVFFuRU00ZkZQNUl4WlZzZURtREY3a3pBWHNnQkt2QjZibWdERXhwWmZnQlpKMGtaUDdZT01WenFQek5md3p6MkZOX21WeVRaaWsyR2doenRUYlVQd3N3UFVYMUQ2SDdMOGhsQ0xPdEVTSDVSZnFTd0FIU3VRVVo5Z3hQeTR6dG5qV1pjQlZxMl9OLUlzX1VPLWFCUmt1ZURWb0xnY1lBTTJpZTBybGw4VUJuOGRReUFmX1RpbFRJaTVfeHZEQUNuTXU1eERWcVU5Q095UmtfaEp2NC1rY1ZuSE92QXhfWXZ1c2xTekozN3hFaEVQTWNJSVNrQ3p0NmNTWWVKQlM3cUJ0TU9LVmNmeXlKbmhZZGlxR1NuMlRjWQ?oc=5,no,discovered
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMiqgJBVV95cUxQNHFLWWNFVWpsSzZqSHFMSmdMaUtTLVowdVQxSGR1TTlsX0xkSTNURVlGT2ZsbnB6Ym8wRmxtLVd1cjlucXlmMjBDV1VYVWdkTmx3THRhbmtKdTVYeEJjM2QtUUNpRlFZdmF6dHhaWWhWeEJmeTVpUUxfVE5NOG5iZDNDR0w0MDh1RFdiZ0d3QXdheXRsOVY5XzNpdWwyT0tReWlWSnNwMzkwUFV0amJYb3R1aXhJYmtKZ3R0U1lqbEdKVVFvY09ON2JSTzR2WXc3VGpwNFoxWUJxT2xsbDV6UUs5aFhQbVBqeHowZTBGanBGVU1sV1BLRUtwMWx2M1ZhUGVUUndZS3JSMTFFMEdLNTRXZTdscXk3bHhKX2t0SmdiY2hTV3BXNzhn?oc=5,no,discovered
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMiogVBVV95cUxNZzZrRjM0TDgyV2NwT0s0bi0ybjBlQ29KcHA3eFItR1hJSlR6ZE5la1QwVjN0WGl0QTBWVnpjTk5KRU5uT1M4em56ZUI3N1pyT2F0QWRlc09WclFXZ3l2cm1aRzZ5N0NuWTV3a0RIWmZRTDhQaVBDNUZmSDJxVV9VdEE0LTZWclBNblM1Z2dGSlpycTlPQmdJb1RwMVpPRWtwRzVRUWFmVkdONEs2ZUlva1kyWUJJYWpLNzNldmhRUnBaNUNtUHIyYjA5SFRrZEhtTmlrLTdBQTZnRXFDanlWNmpqNVdCOEE3ZElRRUo2bzBWVTVVczdvVkplNjdsZFZrSTlmeUlkUjhRX0FTYk5hSGZNS3lVMTBiSDVNMUhvNG04SDUyNlFsMGlOb0FLUWo3TlhSWXQ3QTZQTno0dzhueTdXWU5JWXAyV05MMl9ncHZGamlYb0p2Q3R2ZFpXUGUtMjNBSjNjMmJJSllmZVlKVkVyMlJ0d2RxVkZLTEpOamNOUE9uRnN2VUd1eUpKaTlTb3NGUjZHdl8xUHM1Y1c3RjBQY0JOZWNISUxidVItZGx3Zk5YaDFUVGRPZDZQX05aVHZfbm1fMjNqUi1HaHlXQnJkV1BaUndIQ0VVWXNvNC1WN1EzYmNIV2tJWm9NVmdpb0xTd0pDeGUxeURwWHVWMFFQX3g4U0lVRlBOVEJZWHZEY0xpR3huc2lMZ1dNZ3RUWG9jemduUlhsZmV1YVJQS0k4bGc5ekZRakREQVlkYlBvaEZpWGZZSGVWcHJ0LVhPMU44X2Z4VURCRFpqRXZQMzBMTGFKMVZ4NFkyN192d1JtUHlRZllVWldPSkIwb2JKS1ZOMnJnMHl6ZnV5N1RCeElBeFktMWpDZEF1cVpnN21kQdIBU0FVX3lxTE5jc19ZazdQcDI0NEVoczNfaU1CUDZUQ0lTUjBYTlVVYlZLdXcxWVF2WDJxamF0bElIOE9zUFhDLTZIY1hJV0JhV1FhdEpJM2EyOF93?oc=5,no,discovered
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMiXEFVX3lxTE91enc3Ri14T01sNDZaYjdFbXZGVGVLWnU1LWFjZjIwYXotN1ltckREakZqWjFkZFJTdFh5SVRhak0temw2ajV2am10c0JNbmIweV9ZU2wzS1FBTkFt0gFUQVVfeXFMTkdKTi1MTEc1S2RNVDVPMl9TLTJSay13MEZ2ckd1MW82elY0WWpFdE5KTVdWUjl5bHZhN0trQ0MtaTkxa0hsaFhvZ2JEY0RMbHhvekdn?oc=5,no,discovered
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMi7gJBVV95cUxPNUhvNmpmTTV3a0M3Q21GcjdfbXFLZkZQZG84TUdqWW44OVhyZGhDcW56RzVTQWVUMjZObC1BcmQ0UE1JWE5oaTRoa1Y3SERQT0pYV0xHc1hzVjBIOG1GYVRpUzdsM1BTSUpJMUFsQjIzMmFtMUJERlZZcl9nZEs4MnZrQUtqMlZtcnhpNWFrM0NCZzVVdHI5MnFEMUtuQWRRaVl3UEU4azVtWTlqRlBnNTR4cHQ4SEZUQlRlMTlsdktuX1N3Mkk0QzRUczJSXzdPYTRYbGNEZGIxTElXN2VWbHZ4NlpGa1J4YnJzckJUbHd6ZWNjRXRwa3B4clcwVW1WcnIwTWw0OE5uVXIwdmd5VTFaVVVUUC11ZWhxMWFKdTJObVJBWjJhdVFYdElGS255b19keDZZbW9lU0NKZVB3dFVtY1FtZmN0VC1iSFR0b2FlTnZielN1T2xWUUMtMXpqdF9TOWVGZm1pOEI0ZWfSAVZBVV95cUxNd0Q4N0dfVEFUOVNtcG1KcWhwU0R3QzAtWjhYWWt2YklxUzRrSE5JaEgwejdSWUUzcmlCY1VBbVc0aHh0N0FCd1BPZ3B2WEM0U1pfNHBVQQ?oc=5,no,discovered
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMi6ARBVV95cUxNRFVtaG93ZXRHR3lEcTZRWDhfMWxFYjhDNHNndVFzV2JKRzMtS3NHMDBsQTlvS2QtcDVxV2NKaGcwVS02eDNuWmJ1YmRiQ1FJR29xaW9SeDFGTzlsdzRTaURGelJBVDdYbXhtbEZnclV3eF9TQmZYSGVMMXBBeGZzM2Vib1lzeGlSWDF5WXlCMnRNUzRuZEQ4UXNfUHJnNjdfQXBwTGs2Yy1LUWkweGx2NDJndm1HM21NMWxGRmdkdFMta0hHcFA4eUFxWk5XYlFEX2psdmFkVGtfVlVzM1N3QjNYNG9ZSU9mck95NmhLTlk0QU1fTElQdm9mSnBQTEg2U1FROUJBelJNMlVud0RvUjdzYXNLUUl2dnVBVmt3eFRfSXRGczdQYWZ4OFRIR3g3YW15YXdFb0Q5VUFubWhHdU4zNVRPOTVCdFhlZ1Z5cUtiR2ZvMF9PN1VLWGZWaU16SXBBRW9LOVBXb1phdk03bUJWeTlSVnZjYTdPWnBQb29UTFhiSDlyNTMwTzZTUkVTcHZqMkthMGpmcVlGaXlKV2JCTWNYcV9sVVRhdnlWRGNhbXBGSnUtVU9sRDZueWlxQmZZZVNBWWlCT25CZlVzUTZBVnJPXzhYR0lEMjE4SDdtb1hTMFR6WnFheEgtVjVhZ3c4eEEyeXBYbVBrbVhDS013Z0FoeWVINVd0NmRkaDBXQ2Zjd2lpVmtOQi1DLTk0Qk5CTXVpZjJvTDdjdnJyUEE2NFUxc09jUEctRFRLZUpSWVlhRmFjaXJVOURyV0o2VmVuZEpCYjdodDJZdExBV2FSMHNMWHV4?oc=5,no,discovered
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMiVEFVX3lxTE9MMFFGLWhvaFhZY2xyZm5ndkJSQkFzSnVzUDl4ZnpsckI4cThLelN6NWZSbWxzRjg5VnNlYWV5NmNRMU5oZllWQURHRThyS3JTTEMxbtIBVEFVX3lxTE1CR0xMVk01UEh4T09sSjFmeE50ZFdSQzF2cHEwNmpmczVwTWg5ZENvdHFYTDI1QnViRmNYa1BTWGJTN1RGc2V3NkMtN0M3bHNNS2VTRg?oc=5,no,discovered
